surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
80.2,2013,2,BE,0,0,3,14,,5,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,83
80.2,2013,2,BE,0,0,3,17,,7,2,0,,0,1,0,0,0,,0,0,0,1,1,0,0,,59
80.2,2013,2,BE,0,0,3,26,,10,1,0,,1,0,0,1,0,,0,1,1,1,1,0,0,,54
80.2,2013,2,BE,0,0,3,14,,1,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,88
80.2,2013,2,BE,0,0,3,18,,7,1,0,,0,0,0,0,0,,0,0,0,1,1,1,0,,61
80.2,2013,2,BE,0,0,2,14,,8,2,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,72
80.2,2013,2,BE,0,0,1,15,,3,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,54
80.2,2013,2,BE,0,0,3,17,,9,1,0,,1,0,0,0,0,,0,1,0,1,1,0,0,,85
80.2,2013,2,BE,0,0,3,15,,8,1,0,,1,1,0,1,0,,0,1,0,1,1,0,0,,77
80.2,2013,2,BE,0,0,3,16,,8,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,70
80.2,2013,2,BE,0,0,3,23,,10,2,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,59
80.2,2013,2,BE,2,0,3,24,,10,1,1,,0,1,0,1,0,,1,0,1,1,1,1,0,,35
80.2,2013,2,BE,0,1,3,20,,8,1,0,,0,0,0,1,1,,1,1,0,1,1,0,0,,43
80.2,2013,2,BE,0,0,3,16,,8,2,1,,1,0,0,0,0,,0,0,0,0,0,0,0,,64
80.2,2013,2,BE,0,0,3,16,,7,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,48
80.2,2013,2,BE,0,0,3,15,,5,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,81
80.2,2013,2,BE,0,0,3,18,,10,1,1,,1,0,0,1,0,,0,0,0,1,0,0,0,,53
80.2,2013,2,BE,0,0,2,16,,8,2,0,,0,1,0,1,0,,0,1,1,1,1,0,0,,52
80.2,2013,2,BE,0,0,3,16,,7,1,0,,0,0,0,1,0,,1,0,0,1,1,0,0,,62
80.2,2013,2,BE,0,0,3,14,,8,1,0,,0,1,0,1,1,,0,1,0,1,1,0,0,,66
80.2,2013,2,BE,0,0,2,18,,6,1,0,,1,1,0,1,1,,0,1,0,1,1,0,0,,45
80.2,2013,2,BE,0,0,3,14,,6,1,0,,1,1,0,0,0,,0,1,1,1,1,0,0,,62
80.2,2013,2,BE,0,0,3,14,,7,1,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,64
80.2,2013,2,BE,0,0,2,17,,5,1,0,,1,1,0,1,1,,0,1,0,1,0,0,0,,57
80.2,2013,2,BE,2,2,2,21,,6,2,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,27
80.2,2013,2,BE,0,0,3,23,,8,1,0,,1,0,1,0,0,,0,0,0,1,0,0,0,,47
80.2,2013,2,BE,0,0,3,18,,4,1,0,,1,0,0,0,1,,1,1,0,1,1,0,0,,72
80.2,2013,2,BE,0,0,3,20,,9,1,1,,1,1,0,1,1,,1,1,1,1,1,0,0,,52
80.2,2013,2,BE,1,0,2,22,,8,1,0,,0,0,0,1,0,,0,0,0,1,1,0,0,,35
80.2,2013,2,BE,0,0,2,14,,9,2,1,,0,0,0,0,0,,0,0,0,0,1,0,0,,49
80.2,2013,2,BE,2,0,3,21,,8,1,0,,0,1,0,1,0,,0,1,0,1,0,0,0,,46
80.2,2013,2,BE,0,0,2,19,,5,2,0,,0,0,0,1,0,,0,0,0,0,0,0,0,,29
80.2,2013,2,BE,0,1,3,98,,8,1,0,,1,0,0,0,0,,0,0,0,1,1,1,0,,15
80.2,2013,2,BE,0,0,3,98,,8,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,21
80.2,2013,2,BE,1,0,3,23,,8,2,1,,1,1,0,1,0,,0,0,0,1,1,0,0,,42
80.2,2013,2,BE,0,0,3,19,,7,2,0,,0,0,0,1,0,,0,0,0,1,0,0,0,,86
80.2,2013,2,BE,2,0,1,22,,6,2,0,,1,1,0,1,0,,0,1,0,1,1,0,0,,32
80.2,2013,2,BE,2,0,2,20,,2,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,42
80.2,2013,2,BE,2,2,3,19,,9,1,0,,1,1,0,0,0,,1,0,0,1,1,0,0,,37
80.2,2013,2,BE,0,0,3,18,,7,2,0,,1,0,0,1,0,,0,1,0,1,0,0,0,,60
80.2,2013,2,BE,0,0,1,18,,5,2,0,,0,0,0,0,0,,0,1,0,0,0,0,0,,68
80.2,2013,2,BE,0,0,3,17,,10,1,0,,0,1,0,0,0,,0,0,0,1,0,0,0,,52
80.2,2013,2,BE,2,0,3,22,,10,1,1,,1,1,0,1,1,,0,1,0,1,1,0,0,,36
80.2,2013,2,BE,0,0,3,23,,7,1,1,,1,1,0,1,1,,0,1,1,1,1,0,0,,37
80.2,2013,2,BE,0,0,2,20,,6,2,0,,0,1,0,0,1,,0,0,0,0,0,0,0,,61
