surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
83.4,2015,2,BE,0,0,3,14,5,7,1,1,,0,0,0,0,0,,0,0,0,0,0,0,0,,60
83.4,2015,2,BE,1,0,1,20,8,6,1,1,,0,1,1,1,0,,0,1,1,1,1,0,0,,46
83.4,2015,2,BE,0,1,3,21,7,10,1,1,,0,1,0,0,0,,0,1,0,1,1,0,0,,48
83.4,2015,2,BE,0,0,3,25,5,9,1,0,,0,1,0,1,0,,0,1,0,1,0,0,0,,56
83.4,2015,2,BE,0,0,1,19,5,7,1,0,,0,0,0,1,1,,0,1,0,1,0,0,0,,58
83.4,2015,2,BE,0,0,2,12,5,11,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,79
83.4,2015,2,BE,0,0,3,23,2,9,2,1,,1,0,0,1,1,,0,0,0,1,1,0,0,,28
83.4,2015,2,BE,0,0,2,17,5,10,1,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,42
83.4,2015,2,BE,0,0,2,12,2,10,2,0,,0,1,0,1,1,,0,1,0,1,0,0,0,,80
83.4,2015,2,BE,0,0,3,18,98,7,2,1,,1,0,0,0,0,,0,1,0,1,0,0,0,,65
83.4,2015,2,BE,1,1,3,98,6,5,1,0,,1,0,0,0,0,,0,0,0,1,0,0,0,,17
83.4,2015,2,BE,0,0,2,17,3,10,1,0,,0,0,0,1,1,,0,1,0,1,1,0,0,,57
83.4,2015,2,BE,0,0,3,14,1,10,2,0,,0,1,0,0,0,,0,0,1,1,0,0,0,,87
83.4,2015,2,BE,2,0,3,26,1,10,1,0,,1,1,0,0,0,,0,1,1,1,1,0,0,,45
83.4,2015,2,BE,0,3,2,18,98,10,2,0,,1,0,0,1,1,,0,1,0,1,1,0,0,,37
83.4,2015,2,BE,0,0,2,17,10,10,1,1,,0,1,0,1,0,,0,1,0,1,1,0,0,,56
83.4,2015,2,BE,9,9,3,24,98,10,1,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,75
83.4,2015,2,BE,0,0,3,18,10,6,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,66
83.4,2015,2,BE,1,0,3,19,5,5,1,1,,0,1,0,0,0,,1,1,0,1,1,0,0,,37
83.4,2015,2,BE,0,0,3,98,97,6,2,0,,0,0,0,1,0,,0,1,1,1,0,0,0,,23
83.4,2015,2,BE,0,0,2,20,3,6,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,66
83.4,2015,2,BE,0,0,3,16,3,9,1,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,42
83.4,2015,2,BE,2,0,3,18,4,7,2,0,,0,0,0,1,0,,1,1,0,1,1,0,0,,40
83.4,2015,2,BE,0,3,3,98,4,8,2,0,,1,0,0,1,0,,0,1,1,1,1,0,0,,18
83.4,2015,2,BE,0,0,3,22,5,8,1,0,,1,1,0,1,0,,1,1,0,1,1,0,0,,52
83.4,2015,2,BE,0,0,3,18,5,7,2,1,,0,1,0,1,0,,0,1,0,1,1,0,0,,49
83.4,2015,2,BE,0,0,2,18,4,8,2,0,,0,0,0,1,0,,0,0,0,1,0,0,0,,60
83.4,2015,2,BE,0,0,2,22,4,7,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,60
83.4,2015,2,BE,0,0,3,21,6,5,1,1,,0,0,0,0,0,,0,0,0,0,0,0,0,,57
83.4,2015,2,BE,0,0,7,98,98,4,1,0,,0,0,0,1,0,,0,0,0,1,1,0,0,,17
83.4,2015,2,BE,0,0,2,23,97,6,1,0,,1,1,0,1,0,,0,1,1,1,1,0,0,,54
83.4,2015,2,BE,0,0,2,15,6,8,2,0,,0,1,1,1,0,,0,1,0,1,0,0,0,,62
83.4,2015,2,BE,0,0,3,14,4,7,2,0,,1,1,0,1,1,,1,1,0,1,1,0,0,,76
83.4,2015,2,BE,0,0,3,18,8,5,2,1,,1,1,0,1,0,,0,1,0,1,1,0,0,,67
83.4,2015,2,BE,0,0,3,14,5,6,1,0,,1,1,0,1,1,,0,1,1,1,1,0,0,,79
83.4,2015,2,BE,0,0,3,12,5,4,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,56
83.4,2015,2,BE,0,0,3,17,4,7,1,0,,0,1,0,0,1,,0,0,0,1,1,0,0,,62
83.4,2015,2,BE,0,0,3,16,7,8,1,0,,0,0,0,1,1,,0,0,0,1,1,0,0,,48
83.4,2015,2,BE,0,0,3,24,1,9,1,0,,0,0,0,0,1,,0,1,0,1,0,0,0,,66
83.4,2015,2,BE,0,0,3,21,7,8,2,0,,0,0,0,0,0,,0,1,0,1,0,0,0,,79
83.4,2015,2,BE,0,0,3,16,5,8,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,62
83.4,2015,2,BE,0,0,3,14,5,2,1,0,,0,0,0,0,0,,0,0,0,1,1,1,0,,72
83.4,2015,2,BE,2,0,2,16,5,3,1,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,53
83.4,2015,2,BE,0,0,3,23,1,10,2,0,,0,0,0,1,1,,0,1,0,1,1,0,0,,85
83.4,2015,2,BE,0,0,2,17,1,8,1,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,76
83.4,2015,2,BE,0,0,2,20,2,9,1,0,,1,1,1,1,0,,0,1,1,1,1,0,0,,22
83.4,2015,2,BE,2,0,2,22,4,10,1,0,,0,0,0,1,1,,0,0,1,1,1,0,0,,43
83.4,2015,2,BE,0,0,2,14,6,8,2,0,,1,0,0,1,0,,0,0,0,0,0,0,0,,84
83.4,2015,2,BE,0,0,3,15,5,8,1,0,,1,0,0,1,0,,0,0,0,0,0,0,0,,67
83.4,2015,2,BE,0,0,3,22,5,8,1,1,,1,0,1,1,1,,0,1,0,1,1,0,0,,58
83.4,2015,2,BE,0,0,3,14,5,7,2,0,,1,1,0,0,0,,0,1,0,1,1,0,0,,70
83.4,2015,2,BE,0,0,3,14,5,5,2,0,,0,1,0,0,0,,1,0,0,0,0,0,0,,85
83.4,2015,2,BE,0,0,3,20,6,7,2,0,,0,1,0,1,1,,0,0,1,1,1,0,0,,53
83.4,2015,2,BE,0,0,3,15,5,6,1,0,,0,1,1,1,1,,0,1,0,0,0,0,0,,82
83.4,2015,2,BE,0,2,3,18,7,6,2,0,,1,1,0,1,0,,1,1,0,1,1,0,0,,45
83.4,2015,2,BE,0,0,2,20,7,10,1,0,,0,1,0,1,0,,1,1,0,1,1,0,0,,60
83.4,2015,2,BE,1,0,2,14,7,4,1,0,,0,1,0,1,0,,0,1,0,1,0,0,0,,55
83.4,2015,2,BE,0,0,2,12,1,9,1,0,,0,1,0,1,0,,0,0,1,0,0,0,0,,46
83.4,2015,2,BE,0,1,3,20,10,10,1,0,,0,1,0,1,0,,0,1,0,0,1,0,0,,45
