v6,v7,v557,v570,v571,v572,v573,v574,v575,v576,v577,v578,v579,v580,v581,v582,v583,v592,v595,v605,v607,v624
2,BE,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,98,21,0,0,3
2,BE,4,1,0,1,0,0,1,0,0,0,1,1,0,0,0,23,57,0,0,1
2,BE,7,1,0,1,0,0,0,0,0,0,0,1,1,1,0,25,30,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,98,23,0,0,2
2,BE,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,98,20,0,0,1
2,BE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,98,17,0,0,3
2,BE,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,98,18,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,1,0,1,1,0,0,18,62,0,0,3
2,BE,6,1,0,0,1,1,0,0,0,0,0,1,1,0,0,24,33,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,1,0,1,1,0,0,16,44,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,1,1,0,0,98,18,1,1,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,16,73,0,0,3
2,BE,8,1,0,0,1,1,0,0,0,0,0,1,1,0,0,18,33,2,1,3
2,BE,5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,18,43,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,1,1,0,0,16,48,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,17,66,0,0,3
2,BE,9,1,0,0,1,0,0,0,0,0,0,1,1,0,0,98,16,0,1,3
2,BE,10,2,0,1,0,0,0,0,0,0,0,1,1,0,0,24,29,0,0,3
2,BE,5,2,0,1,0,0,0,0,0,0,0,1,1,0,0,18,72,0,0,3
2,BE,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0,21,21,0,0,3
2,BE,6,2,0,1,0,0,0,0,0,0,0,1,1,0,0,22,58,0,0,3
2,BE,3,1,0,0,0,0,1,0,0,1,0,1,1,0,0,24,38,1,3,3
2,BE,10,2,0,1,0,0,0,0,0,0,0,1,0,0,0,22,57,0,0,3
2,BE,6,1,0,1,1,0,0,0,0,1,1,1,1,0,0,22,65,0,1,3
2,BE,10,1,0,1,0,0,1,0,0,0,0,1,0,0,0,21,41,0,0,2
2,BE,7,2,0,0,0,0,1,1,0,0,0,1,1,0,0,19,29,0,0,1
2,BE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,99,66,0,0,2
2,BE,8,2,0,1,1,0,1,1,1,1,1,1,1,0,0,21,32,2,0,3
2,BE,5,1,1,0,1,0,1,0,1,0,0,1,1,0,0,23,51,1,0,1
2,BE,6,2,0,1,0,0,1,0,0,1,1,1,1,0,0,14,80,0,0,3
2,BE,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,99,64,0,0,3
2,BE,8,1,1,1,0,0,1,1,1,1,0,1,1,0,0,23,34,2,0,3
2,BE,8,2,0,1,1,0,1,0,0,1,0,1,1,0,0,18,85,0,0,3
2,BE,6,2,0,1,1,0,1,0,0,1,0,1,1,0,0,14,55,0,0,3
2,BE,7,2,0,1,0,1,1,0,0,0,0,1,1,0,0,21,27,0,0,3
2,BE,7,2,1,1,1,0,1,1,0,1,0,1,0,0,0,17,61,0,0,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,14,57,0,0,3
2,BE,4,2,0,1,0,0,1,0,0,1,0,1,1,0,0,14,48,0,0,3
2,BE,5,2,0,0,0,0,1,0,0,1,0,1,1,0,0,16,68,0,0,3
2,BE,5,2,0,1,1,1,1,0,0,1,1,1,1,0,0,24,46,0,1,3
2,BE,7,2,0,1,0,0,1,1,0,1,1,1,1,0,0,18,33,1,0,3
2,BE,5,1,1,1,1,0,1,0,0,1,1,1,1,0,0,17,46,0,0,2
2,BE,5,2,0,1,0,0,0,0,0,1,0,1,1,0,0,23,76,0,0,3
2,BE,8,2,0,1,1,0,1,0,0,1,0,1,1,0,0,16,60,0,0,3
2,BE,5,1,0,1,0,0,1,1,0,1,1,1,1,0,0,16,67,0,0,3
2,BE,5,1,0,1,0,0,1,0,0,1,1,1,1,0,0,20,45,0,1,3
2,BE,6,1,0,1,0,0,1,0,1,1,1,1,1,0,0,19,54,0,0,3
2,BE,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,15,70,0,0,3
2,BE,6,2,1,0,0,0,1,0,0,0,0,1,1,0,0,18,41,1,1,3
2,BE,4,2,1,0,0,1,1,0,0,1,0,1,1,0,0,19,81,0,0,3
2,BE,5,2,0,0,1,0,1,0,0,1,0,1,1,0,0,19,75,0,0,3
2,BE,6,2,1,1,0,0,1,0,0,1,1,1,1,0,0,18,50,0,0,3
2,BE,6,2,1,0,0,1,1,0,0,1,1,1,1,0,0,17,47,0,1,3
2,BE,5,2,0,0,0,0,1,0,0,1,0,1,1,0,0,20,43,0,1,3
2,BE,6,1,1,1,1,0,1,1,0,1,1,1,1,0,0,21,68,0,0,2
2,BE,9,1,0,1,1,0,1,1,0,1,1,1,1,0,0,98,23,0,0,3
2,BE,7,2,1,1,1,1,1,0,0,1,1,1,1,0,0,14,72,0,1,3
2,BE,10,2,0,1,1,0,1,1,0,1,0,1,1,0,0,16,75,0,0,3
2,BE,7,2,0,1,0,0,1,0,0,1,1,1,1,0,0,98,22,0,0,3
2,BE,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,18,52,0,0,3
2,BE,7,1,1,1,1,0,1,1,0,1,1,1,1,0,0,21,54,0,0,3
2,BE,8,2,0,1,0,0,1,0,0,1,1,1,1,0,0,98,18,0,1,3
2,BE,7,1,0,1,1,0,1,1,0,1,0,1,1,0,0,18,60,0,0,3
2,BE,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,22,50,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,1,1,1,1,0,0,20,48,0,0,3
2,BE,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,98,20,0,2,3
2,BE,6,1,0,1,0,0,1,0,0,1,1,1,1,0,0,14,64,0,0,3
2,BE,6,1,0,1,1,0,1,0,0,1,0,1,1,0,0,14,57,0,0,3
