country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d8,d11,d40b,d40c,d60
2,BE,10,1,1,0,1,0,1,0,1,0,1,1,1,1,0,24,35,2,0,3
2,BE,8,1,0,0,0,0,1,1,1,1,0,1,1,0,0,20,43,0,1,3
2,BE,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,16,64,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,16,48,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,15,81,0,0,3
2,BE,10,1,1,1,0,0,1,0,0,0,0,1,0,0,0,18,53,0,0,3
2,BE,8,2,0,0,1,0,1,0,0,1,1,1,1,0,0,16,52,0,0,2
2,BE,7,1,0,0,0,0,1,0,1,0,0,1,1,0,0,16,62,0,0,3
2,BE,8,1,0,0,1,0,1,1,0,1,0,1,1,0,0,14,66,0,0,3
2,BE,6,1,0,1,1,0,1,1,0,1,0,1,1,0,0,18,45,0,0,2
2,BE,6,1,0,1,1,0,0,0,0,1,1,1,1,0,0,14,62,0,0,3
2,BE,7,1,0,0,0,0,1,0,0,1,0,1,1,0,0,14,64,0,0,3
2,BE,5,1,0,1,1,0,1,1,0,1,0,1,0,0,0,17,57,0,0,2
2,BE,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,21,27,2,2,2
2,BE,8,1,0,1,0,1,0,0,0,0,0,1,0,0,0,23,47,0,0,3
2,BE,4,1,0,1,0,0,0,1,1,1,0,1,1,0,0,18,72,0,0,3
2,BE,9,1,1,1,1,0,1,1,1,1,1,1,1,0,0,20,52,0,0,3
2,BE,8,1,0,0,0,0,1,0,0,0,0,1,1,0,0,22,35,1,0,2
2,BE,9,2,1,0,0,0,0,0,0,0,0,0,1,0,0,14,49,0,0,2
2,BE,8,1,0,0,1,0,1,0,0,1,0,1,0,0,0,21,46,2,0,3
2,BE,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,19,29,0,0,2
2,BE,8,1,0,1,0,0,0,0,0,0,0,1,1,1,0,98,15,0,1,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,98,21,0,0,3
2,BE,8,2,1,1,1,0,1,0,0,0,0,1,1,0,0,23,42,1,0,3
2,BE,7,2,0,0,0,0,1,0,0,0,0,1,0,0,0,19,86,0,0,3
2,BE,6,2,0,1,1,0,1,0,0,1,0,1,1,0,0,22,32,2,0,1
2,BE,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,42,2,0,2
2,BE,9,1,0,1,1,0,0,0,1,0,0,1,1,0,0,19,37,2,2,3
2,BE,7,2,0,1,0,0,1,0,0,1,0,1,0,0,0,18,60,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,18,68,0,0,1
2,BE,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,17,52,0,0,3
2,BE,10,1,1,1,1,0,1,1,0,1,0,1,1,0,0,22,36,2,0,3
2,BE,7,1,1,1,1,0,1,1,0,1,1,1,1,0,0,23,37,0,0,3
2,BE,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,20,61,0,0,2
2,BE,9,1,0,1,1,0,1,0,0,1,1,1,1,0,0,25,57,0,0,3
2,BE,6,2,0,0,0,0,1,0,0,0,0,1,1,0,0,21,34,0,0,3
2,BE,8,1,0,1,0,0,0,0,0,0,0,1,1,0,0,98,19,0,0,3
2,BE,10,1,0,1,1,0,1,0,0,1,1,1,1,0,0,21,45,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,31,0,0,3
