country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d1,d11,d8,d40b,d40c,d60
2,BE,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,46,12,0,0,2
2,BE,10,1,0,0,1,0,1,0,0,1,0,0,1,0,0,10,45,20,0,1,3
2,BE,8,1,0,1,1,0,1,1,0,1,1,1,1,0,0,4,44,24,0,1,3
2,BE,8,1,0,1,0,0,0,0,0,1,0,1,1,0,0,6,54,30,2,0,3
2,BE,8,1,0,1,1,0,1,1,0,1,0,1,1,0,0,8,55,26,0,0,3
2,BE,9,1,0,1,0,0,0,1,0,1,0,1,0,0,0,6,37,26,1,0,3
2,BE,8,1,0,1,1,0,1,0,0,0,0,0,1,0,0,3,39,26,2,0,3
2,BE,6,1,0,1,1,0,1,0,1,1,0,1,1,0,0,6,58,18,0,0,3
2,BE,9,1,0,1,1,0,1,1,0,1,0,1,1,0,0,6,44,24,0,2,3
2,BE,8,2,0,0,0,0,1,0,0,1,0,1,1,0,0,7,68,21,0,0,3
2,BE,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,98,85,16,0,0,3
2,BE,10,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,58,29,0,1,3
2,BE,7,2,1,1,0,0,1,0,0,1,0,1,0,0,0,4,42,20,0,1,2
2,BE,5,1,0,1,0,0,0,0,0,0,0,1,1,0,0,5,32,18,2,0,3
2,BE,10,2,0,1,0,0,1,0,0,0,0,1,0,0,0,5,64,22,0,0,3
2,BE,8,1,0,0,1,1,1,0,0,1,0,1,1,1,0,5,68,50,0,0,3
2,BE,7,1,1,1,1,0,1,0,0,1,1,1,1,0,0,7,42,23,2,0,2
2,BE,6,1,0,1,1,0,1,0,0,1,0,1,1,1,0,5,52,20,0,0,3
2,BE,6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,35,21,0,0,3
2,BE,10,1,1,0,0,0,0,0,1,0,0,1,0,0,0,5,43,19,1,1,3
2,BE,6,2,0,1,0,0,0,0,0,0,0,1,1,0,0,98,49,15,0,1,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,98,15,98,0,0,3
2,BE,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,98,76,14,0,0,3
2,BE,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,8,84,19,0,0,3
2,BE,8,1,0,0,1,0,1,0,1,1,0,1,1,0,0,4,41,22,1,0,3
2,BE,4,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,50,16,0,0,2
2,BE,7,1,0,0,1,0,0,0,0,0,0,1,1,0,0,10,45,19,0,0,1
2,BE,8,2,0,1,0,0,1,0,0,1,0,1,1,0,0,6,20,18,1,0,2
2,BE,9,1,0,0,1,0,1,1,1,1,0,1,1,0,0,8,41,21,0,1,3
2,BE,4,1,0,0,0,0,1,1,0,1,0,1,1,0,0,4,57,21,0,0,2
2,BE,7,2,0,1,0,0,1,0,0,1,0,1,1,0,0,5,75,16,0,0,3
2,BE,5,2,0,0,0,0,1,0,0,0,0,1,1,0,0,7,71,21,0,0,3
2,BE,5,2,0,1,1,0,1,0,1,1,1,1,1,0,0,3,54,22,0,0,3
2,BE,6,2,0,1,1,0,1,0,0,1,0,1,1,0,0,7,72,21,0,0,3
2,BE,7,2,0,1,0,0,0,0,0,1,0,1,1,0,0,98,35,16,2,0,2
2,BE,6,2,1,0,0,0,1,1,0,1,0,1,0,0,0,97,62,17,1,0,3
2,BE,8,1,0,1,0,0,1,0,0,1,1,0,0,0,0,10,61,19,0,0,3
2,BE,10,2,0,0,0,1,0,0,0,0,0,0,1,0,0,97,53,16,0,0,3
2,BE,6,2,0,0,1,0,1,0,1,0,0,0,0,0,0,8,21,98,2,0,2
2,BE,10,2,0,0,1,1,1,0,0,0,0,0,0,0,0,10,77,25,0,0,3
2,BE,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,31,24,2,2,1
2,BE,8,2,0,1,0,0,1,0,0,0,0,1,0,0,0,5,75,22,0,0,3
2,BE,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,68,15,0,0,3
2,BE,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,63,26,0,0,3
2,BE,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,98,16,98,0,1,3
2,BE,8,2,0,1,1,1,1,1,0,0,0,1,0,0,0,5,42,18,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,9,69,17,0,0,3
2,BE,5,1,0,0,0,0,0,0,0,1,0,1,1,1,0,8,84,14,0,0,3
2,BE,10,1,0,1,0,0,1,1,0,1,0,1,1,0,0,2,48,21,0,0,3
2,BE,7,2,0,0,0,0,1,0,0,1,0,1,1,0,0,5,51,19,0,0,2
2,BE,10,1,0,0,0,0,1,0,0,1,0,1,1,0,0,5,65,15,0,0,2
2,BE,8,2,0,0,1,0,1,0,0,1,0,1,1,0,0,8,32,22,3,0,3
2,BE,9,1,1,0,1,0,1,0,0,1,1,1,1,0,0,5,58,21,0,0,3
2,BE,6,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,63,17,0,0,3
2,BE,5,1,0,1,1,0,1,0,0,1,0,1,1,0,0,6,81,18,0,0,3
2,BE,10,1,1,1,1,0,1,1,1,1,0,1,1,0,0,5,45,19,0,0,3
2,BE,5,1,1,1,1,0,1,1,0,1,1,1,0,0,0,5,74,27,0,0,3
2,BE,8,1,0,0,0,1,1,0,0,1,0,1,0,0,0,5,60,23,0,0,3
2,BE,10,1,0,0,0,0,0,0,0,1,1,1,1,0,0,8,42,22,1,1,3
2,BE,7,2,1,0,0,1,0,1,0,0,0,0,0,0,0,5,24,22,2,0,1
2,BE,7,2,0,0,1,0,1,0,0,0,0,1,1,0,0,5,43,19,0,1,3
2,BE,8,1,0,1,1,0,1,1,0,1,0,1,1,0,0,4,46,21,0,0,3
2,BE,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,31,21,0,0,3
2,BE,7,1,0,0,0,0,1,0,0,0,0,1,1,0,0,4,33,22,0,0,3
2,BE,7,1,0,0,0,0,1,0,0,0,1,1,1,0,0,5,46,26,0,0,1
