surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
87.1,2017,2,BE,0,0,1,16,5,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,32
87.1,2017,2,BE,0,0,3,19,5,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,47
87.1,2017,2,BE,0,0,2,98,5,8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,17
87.1,2017,2,BE,0,0,3,98,5,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,20
87.1,2017,2,BE,0,0,3,20,3,8,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,,60
87.1,2017,2,BE,0,0,1,21,3,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,39
87.1,2017,2,BE,1,0,1,22,5,7,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,,28
87.1,2017,2,BE,0,0,3,18,3,10,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,,54
87.1,2017,2,BE,0,0,3,14,5,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,56
87.1,2017,2,BE,0,0,3,18,5,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,57
87.1,2017,2,BE,2,0,2,17,7,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,34
87.1,2017,2,BE,0,0,2,19,3,6,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,54
87.1,2017,2,BE,0,0,3,17,6,7,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,61
87.1,2017,2,BE,0,0,3,98,6,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,22
87.1,2017,2,BE,0,0,2,14,6,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,87
87.1,2017,2,BE,0,0,2,21,5,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,57
87.1,2017,2,BE,0,1,1,17,7,9,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,,38
87.1,2017,2,BE,0,0,3,19,8,8,2,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,,54
87.1,2017,2,BE,0,0,3,24,3,10,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,,26
87.1,2017,2,BE,0,1,2,20,7,8,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,41
87.1,2017,2,BE,0,0,3,17,5,10,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,59
87.1,2017,2,BE,0,0,3,98,3,10,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,16
