surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
91.3,2019,2,BE,0,1,3,98,6,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,20
91.3,2019,2,BE,1,2,3,99,6,5,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,55
91.3,2019,2,BE,0,0,3,99,4,6,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,4,80
91.3,2019,2,BE,1,2,2,99,5,6,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2,40
91.3,2019,2,BE,0,3,2,99,5,5,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,55
91.3,2019,2,BE,1,0,2,98,6,5,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,22
91.3,2019,2,BE,2,1,3,21,5,7,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,32
91.3,2019,2,BE,0,0,3,21,2,10,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,4,56
91.3,2019,2,BE,0,0,2,18,8,6,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,67
91.3,2019,2,BE,0,0,2,21,7,10,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,2,64
91.3,2019,2,BE,0,0,2,22,8,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,71
91.3,2019,2,BE,0,0,2,22,3,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,42
91.3,2019,2,BE,0,0,2,22,4,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,45
91.3,2019,2,BE,0,0,2,19,7,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,67
91.3,2019,2,BE,2,0,2,99,6,6,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,37
91.3,2019,2,BE,2,1,3,99,6,6,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,43
91.3,2019,2,BE,0,0,3,99,6,6,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,82
91.3,2019,2,BE,0,0,2,99,6,6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,25
91.3,2019,2,BE,2,1,2,99,6,6,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,39
91.3,2019,2,BE,0,2,3,99,6,5,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,60
91.3,2019,2,BE,1,1,2,99,6,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,35
91.3,2019,2,BE,1,1,3,99,5,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,45
91.3,2019,2,BE,1,2,2,18,6,5,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,38
91.3,2019,2,BE,1,2,3,15,7,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,36
91.3,2019,2,BE,0,1,2,99,6,6,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,50
91.3,2019,2,BE,2,0,3,99,7,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,30
91.3,2019,2,BE,0,0,3,21,8,9,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,35
91.3,2019,2,BE,0,0,3,19,2,10,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,54
91.3,2019,2,BE,2,0,3,18,5,8,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,32
91.3,2019,2,BE,1,0,2,24,5,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,35
91.3,2019,2,BE,0,0,3,98,5,5,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,30
91.3,2019,2,BE,0,0,3,30,5,10,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,2,77
91.3,2019,2,BE,2,0,2,98,5,8,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,23
91.3,2019,2,BE,1,0,3,22,3,9,2,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,2,73
91.3,2019,2,BE,0,0,2,21,7,7,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,3,50
91.3,2019,2,BE,0,0,3,19,5,10,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,3,56
91.3,2019,2,BE,0,0,3,23,7,10,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,26
91.3,2019,2,BE,0,0,3,22,6,10,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,2,45
91.3,2019,2,BE,0,0,2,98,6,9,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,2,24
